,recipe_name,Ingredients,Ingredients_alpha
0,"[' Abats  en ""chminka""', '']",- cœur d'agneau -   foie d'agneau -   poumons -   gras double -   pois chiches   -   navets -   huile -   persil -    ail - oignon     -   concentrè de tomate -    harissa -   poivr rouge -   tabel -    sel  ,"['gras double', 'tabel', 'ail', 'navets', ""cœur d'agneau"", 'concentrè de tomate', 'persil', 'huile', 'harissa', 'pois chiches', 'sel', 'poivr rouge', 'oignon', 'poumons', ""foie d'agneau""]"
1,"[' Abats kamounia', '']",- cœur d'agneau -   foie -   poumons -  huile -   oignon   -   concentrè de tomate -    poivre rouge -   tabl -    cumin -    sel  ,"['tabl', ""cœur d'agneau"", 'concentrè de tomate', 'foie', 'huile', 'poivre rouge', 'sel', 'poumons', 'oignon', 'cumin']"
2,"[' Bekbouka marocaine', '']",-tripes de  agneaux -fressures de  agneaux - oignon     -   chiches   -  riz -   coriandre -   persil -   raisins   -   safran -    gingembre -   poivre noir -    cannelle -    sel -huile  ,"['tripes de  agneaux', 'fressures de  agneaux', 'coriandre', 'raisins', 'cannelle', 'chiches', 'persil', 'poivre noir', 'gingembre', 'sel', 'huile', 'safran', 'riz', 'oignon']"
3,"[' Bekbouka aux pommes de terre', '']",- bekboukas  -   pois chiches   -    pommes de terre - oignon     -   tomates -   huile -qulques   persil -    poivre noir -   poivre rouge -    sel -tripes    mouton - fressure de mouton -   pois chiches   - oignon     -   riz -   piment   moulu -   persil -   coriandre -   poivre rouge -    poivre noir -    sel  ,"['tomates', 'pommes de terre', 'fressure de mouton', 'coriandre', 'bekboukas', 'qulques   persil', 'persil', 'poivre noir', 'huile', 'poivre rouge', 'pois chiches', 'sel', 'piment   moulu', 'tripes    mouton', 'riz', 'oignon']"
4,"[' Bekbouka tunisienne', '']",-tripes et poumon    agneau de lait - foie et  cœur d'agneau -   blettes -   persil -  huile -    riz -   graisse de queue de mouton -   oignon   -    ail -    menthe sèchèe     -   tabel -   poivre rouge -    poivre noir -    sel  ,"['tripes et poumon    agneau de lait', 'tabel', 'ail', 'menthe sèchèe', 'persil', 'graisse de queue de mouton', 'huile', ""foie et  cœur d'agneau"", 'poivre rouge', 'poivre noir', 'sel', 'blettes', 'riz', 'oignon']"
5,"[' Boyau farci en sauce', 'Dolma mesrane bel-djelbana', '']",-   intestins de mouton -      pois   -   carottes -   smen -   huile -     coriandre - oignons   -    poivre noir -    curcuma -    cannelle -    sel -   huile et    beurre -   viande rouge hachèe - oignon     -   persil - œufs -   riz -    poivre noir -    cannelle -    sel  ,"['huile et    beurre', 'carottes', 'riz', 'œufs', 'persil', 'poivre noir', 'huile', 'oignons', 'curcuma', 'smen', 'sel', 'viande rouge hachèe', 'intestins de mouton', 'oignon', 'cannelle', 'coriandre', 'pois']"
6,"[' Boyau farci en sauce piquante', 'Dolmz mesranr be dersa', '']",-     mouton -   intestin de mouton  -   pois chiches   -   smen -   huile -   viande rouge hachèe -   persil -    cannelle -   riz - œuf -   poivre rouge - piment rouge   -    cumin -    ail -   sel  ,"['ail', 'riz', 'intestin de mouton', 'persil', 'huile', 'poivre rouge', 'pois chiches', 'smen', 'viande rouge hachèe', 'œuf', 'piment rouge', 'sel', 'mouton', 'cannelle', 'cumin']"
7,"["" Cervelle d'agneau en sauce"", 'Tajine el-mokh', '']",- crevelles d'agneau -  ail -   huile - pommees de terre   -   piment   moulu -   poivre rouge -   cumin -    sel - œufs  ,"['ail', ""crevelles d'agneau"", 'œufs', 'huile', 'poivre rouge', 'sel', 'piment   moulu', 'pommees de terre', 'cumin']"
8,"[' Cervelle de veau en sauce', '']", - cervelles de veau -    ail -   huile -   jus de citron  -     coriandre -   poivre rouge -   pincè de piment   moulu -   cumin -   sel  ,"['cervelles de veau', 'ail', 'pincè de piment   moulu', 'huile', 'poivre rouge', 'sel', 'jus de citron', 'coriandre', 'cumin']"
9,"[' Douwara', '']",-tripes de  agneau -   huile -    ail - oignon     -   coriandre -    poivre rouge -    cumin -    piment   moulu -    sel -   vinaigre  ,"['oignon', 'ail', 'vinaigre', 'huile', 'poivre rouge', 'sel', 'piment   moulu', 'tripes de  agneau', 'coriandre', 'cumin']"
