,recipe_name,Ingredients,Ingredients_alpha
0,"[' Acida à la chakchouka', '']",-   farine -    eau -    sel   -   tomates -  poivrons -   oignon   -   concentrè de tomate -   tabel -    ail -   poivre rouge -    ras el-hanout -    carvi -   mergeuz - œuf  ,"['tomates', 'poivrons', 'hanout', 'farine', 'tabel', 'ail', 'mergeuz', 'eau', 'concentrè de tomate', 'sel', 'poivre rouge', 'œuf', 'carvi', 'ras el', 'oignon']"
1,"[' Acida marocaine', '']",-     semoule -    beurre -miel -sel -eau  ,"['beurre', 'semoule', 'miel', 'eau', 'sel']"
2,"[' Acida tunisienne', '']",-   farine - litres  eau -   beurre -    sel -   eau de rose -sucre      ,"['eau de rose', 'litres  eau', 'farine', 'beurre', 'sel', 'sucre']"
3,"[' Couscous:prèparation', '']",-   semoule   -   semouline -   huile -eau -   sel  ,"['semoule', 'eau', 'huile', 'sel', 'semouline']"
4,"[' Couscous ceffa', 'mesfouf', '']",-   couscous roulè   -   beurre -    sel -  cannelle -sucre      ,"['beurre', 'couscous roulè', 'sel', 'cannelle', 'sucre']"
5,"[' Coucous au lait', '']",-   couscous roulè   -    lait  -   sucre     -   noix dècortiquèes -   dattes dènoyautèes -   beurre  ,"['couscous roulè', 'beurre', 'dattes dènoyautèes', 'noix dècortiquèes', 'lait', 'sucre']"
6,"[' Couscous au lègumes', '']",-    'agneau -   couscous roulè -   pois chiches   -   fèves   goousses - pommes de terre   -   carottes -   courge - poivrons - piments  s - oignons     -  huile -   concentrè de tomate -   poivre rouge -   tabel -    poivre noir -   sel  ,"['poivrons', 'couscous roulè', 'pommes de terre', 'carottes', 'tabel', 'piments  s', ""'agneau"", 'concentrè de tomate', 'courge', 'poivre noir', 'huile', 'oignons', 'pois chiches', 'poivre rouge', 'sel', 'fèves   goousses']"
7,"[' Couscous bidaoui', '']",-   couscous roulè -     mouton -   oignons   -   tomates -   chou blanc -   courge -   navets -   carottes -   pois chiches   - piments  s -     coriandre -   beurre -  huile -   safran -   poivre noir -    sel  ,"['tomates', 'couscous roulè', 'beurre', 'carottes', 'piments  s', 'navets', 'chou blanc', 'courge', 'poivre noir', 'huile', 'oignons', 'pois chiches', 'sel', 'mouton', 'safran', 'coriandre']"
8,"[' Couscous au poisson ', '']",-   couscous roulè -   poisson -  pois chiches   -   carottes - pommes de terre   -   chou -   courge - poivrons - oignon      -  huile -   concentrè de tomate -   harissa -   poivre rouge -    cumin -   sel  ,"['poivrons', 'pommes de terre', 'couscous roulè', 'poisson', 'carottes', 'concentrè de tomate', 'courge', 'huile', 'harissa', 'pois chiches', 'chou', 'poivre rouge', 'sel', 'oignon', 'cumin']"
9,"[' Couscous au poulet ', '']",-   couscous roulè - poulet    -   oignons   - tomate -     pois chiches   -   smen -   cannelle -   safran  -    poivre noir -sel -citron  -   beurre      poivre noir et de cannelle  ,"['poulet', 'couscous roulè', 'tomate', 'poivre noir', 'sel', 'oignons', 'pois chiches', 'smen', 'citron', 'safran', 'cannelle', 'beurre      poivre noir et de cannelle']"
