,recipe_name,Ingredients,Ingredients_alpha
0,"[' Mèchouiya', '']",-   tomates -   poivrons -    ail -   huile  olives -   persile et cèleri   hachès - œuf   -   thon blanc     -   câpres -   citron confit -  olives confites noires ou vertes -   tabel -sel  ,"['tomates', 'poivrons', 'tabel', 'ail', 'persile et cèleri   hachès', 'câpres', 'citron confit', 'olives', 'sel', 'huile  olives', 'œuf', 'thon blanc']"
1,"[' Mekbouba', '']",-   tomates - poivrons verts -  piments verts -    ail -   huile -   sel -     carvi  ,"['tomates', 'ail', 'huile', 'sel', 'carvi', 'piments verts', 'poivrons verts']"
2,"[' Poivrons grillès à la mode de nabeul', '']",-   poivrons doux -  piments  s -   tomates -    ail -   huile - œuf   -   olives noires -    carvi -   sel  ,"['tomates', 'ail', 'piments  s', 'poivrons doux', 'olives', 'huile', 'sel', 'œuf', 'carvi']"
3,"[' Poivrons rouges cuits en salade', 'slata felfel hmar', '']",-   poivrons rouges -   tomates -    ail -    huile -   vinaigre -     poivre noir -     sel  ,"['tomates', 'ail', 'poivrons rouges', 'vinaigre', 'huile', 'poivre noir', 'sel']"
4,"[' Salade de carotte cuite', '']",-   carottes -   huile d'olive -    ail -    persil -   vinaigre -    poivre rouge -   cumin -   sel -   piment   moulu  ,"['carottes', 'ail', ""huile d'olive"", 'persil', 'vinaigre', 'poivre rouge', 'sel', 'piment   moulu', 'cumin']"
5,"["" Salade de carotte râpèe à l'orange"", '']",-   carotte - orangs -   eau de fleur  oranger -   sucre     - citron -   sel  ,"['carotte', 'eau de fleur  oranger', 'sel', 'citron', 'sucre', 'orangs']"
6,"[' Salade de mauve', '']",-   mauve - bouqutes de persil -   coriandre -    cèleri -    ail -   huile d'olive -   poivre rouge -    piment   moulu - citron confit -   olives vertes confites -jus   citron -    sel  ,"['ail', ""huile d'olive"", 'mauve', 'jus   citron', 'citron confit', 'olives', 'poivre rouge', 'sel', 'cèleri', 'piment   moulu', 'coriandre', 'bouqutes de persil']"
7,"[' Salade de tomates et poivrons crus', '']",-   poivrons -   tomates -   persil -   vinaigre -    ail -    cumin -   huile d'olive -   poivre noir - piment vert -     sel  ,"['tomates', 'poivrons', 'ail', ""huile d'olive"", 'persil', 'vinaigre', 'poivre noir', 'sel', 'piment vert', 'cumin']"
8,"[' Salade de tomates et poivrons cuits', '']",-   tomates -   poivrons -   piments  s -   persil hachè -   poivre rouge -    ail -  huile d'olive - citrons confits -sel  ,"['tomates', 'poivrons', 'citrons confits', 'ail', ""huile d'olive"", 'piments  s', 'poivre rouge', 'sel', 'persil hachè']"
9,"[' Salade de tomates et poivrons frits', '']",- poivrons - piments verts -   tomates - citron -    ail -   cumin  -   poivre noir -   sel -huile    ,"['tomates', 'poivrons', 'ail', 'poivre noir', 'sel', 'huile', 'citron', 'piments verts', 'cumin']"
10,"[' Salade de zaalouk', '']",-   aubergines -   courgettes -   poivrons -   tomates - piments verts -   huile -    ail -   poivre rouge -    sel  ,"['tomates', 'poivrons', 'ail', 'aubergines', 'huile', 'poivre rouge', 'sel', 'courgettes', 'piments verts']"
11,"[' Tastira aux aubergines', '']",-   aubergines -   pommes de terre -    tomates -  poivrons verts - piment vert -    ail -   huile d'olive -   tabel -    poivre noir -sel -huile    ,"['tomates', 'pommes de terre', 'tabel', 'ail', ""huile d'olive"", 'poivre noir', 'aubergines', 'sel', 'huile', 'piment vert', 'poivrons verts']"
12,"[' Tchaktchouka maqliya', 'Ratatouille frite', '']",-   tomates -   poivrons -   oignon   -   huile -  ail -    sel -    poivre rouge  ,"['tomates', 'poivrons', 'ail', 'huile', 'sel', 'poivre rouge', 'oignon']"
13,"[' Tchaktchouka mechwiya', 'Ratatouille grillèe', '']",-   tomates -   poivrons -  piments verts -  ail -   huile - œufs -    poivre rouge -    sel  ,"['tomates', 'poivrons', 'ail', 'œufs', 'huile', 'poivre rouge', 'sel', 'piments verts']"
14,"[' Tomates farcies à la mèchouiya', '']",-   tomates   - œufs   ou    persil -sel -   poivrons -   tomates -    ail -   citron confit -  olives noirs ou vertes -   thon blanc     -   câpres - œuf   -   huile d'olive -   tabel -sel  ,"['tomates', 'poivrons', 'tabel', 'ail', ""huile d'olive"", 'câpres', 'citron confit', 'œufs', 'olives', 'sel', 'œuf', 'thon blanc']"
15,"['Torchis-mouchi', '']",-   courgettes -    ail -   vinaigre -   huile -    harissa -   carvi -sel  ,"['ail', 'vinaigre', 'huile', 'harissa', 'sel', 'carvi', 'courgettes']"
