,recipe_name,Ingredients,Ingredients_alpha
0,"[' Chakhchoukhat bsakra', 'Tajine de viande aux crêpes', '']",-   semouline -   farine -    sel -oignon -huile -eau  -    'agneau -   tomates - oignons     -     pois chiches   -  smen -   huile -   courgettes -    ail - piment rouge   ou     piment   moulu -    poivre rouge -    sel -     poivre noir -    cumin -    carvi -    canelle  ,"['tomates', 'ail', 'piment rouge', 'courgettes', 'oignon', 'cumin', 'oignons', 'pois chiches', 'carvi', 'farine', ""'agneau"", 'semouline', 'eau', 'poivre noir', 'sel', 'huile', 'poivre rouge', 'smen', 'canelle']"
1,"[' Gogot roti "" mosli""', '']",- gigot d'agneau -    pommes de terre - poivrons -   tomates -    ail -   beurre -   tabel -   poivre noir -    sel -    curcuma  ,"['tomates', 'poivrons', 'pommes de terre', 'beurre', 'tabel', 'ail', 'poivre noir', 'sel', 'curcuma', ""gigot d'agneau""]"
2,"[' Kabama', '']",- èpaule d'agneau -   pommes de terre -    concentrè de tomate - oignon   -  citron -   huile -   beurre -   safran  -    poivre noir -sel -huile    ,"['pommes de terre', 'beurre', 'concentrè de tomate', ""èpaule d'agneau"", 'poivre noir', 'huile', 'sel', 'citron', 'safran', 'oignon']"
3,"[' Kebab ', 'Tajine de viande aux pommes de terre frites', '']",-     mouton -   pommes de terre -   oignon   -     persil -    smen -    poivre noir -     cannelle  -    sel -huile    ,"['pommes de terre', 'persil', 'poivre noir', 'sel', 'huile', 'smen', 'mouton', 'cannelle', 'oignon']"
4,"[' Tajine de kebab medfi en sauce', '']",-      mouton -   beurre -   persil -   oignons   -   vinaigre -    sel -    piment   moulu  ,"['beurre', 'persil', 'vinaigre', 'sel', 'oignons', 'piment   moulu', 'mouton']"
5,"["" Mbattens d'artichauts en sauce"", '']",-     veau -   haricots blancs   -   concentrè de tomate -   tabel -sel -   huile -   artichauts -   viande hachèe - oignon     -   persil - œuf   cru -   poivre noir -sel - œufs battus -   farine -huile    ,"['haricots blancs', 'farine', 'tabel', 'viande hachèe', 'concentrè de tomate', 'veau', 'persil', 'sel', 'huile', 'poivre noir', 'œufs battus', 'œuf   cru', 'oignon', 'artichauts']"
6,"[' Mchimèche', ""Tajine de viande aux croquettes en forme d'abricots"", '']",-     mouton - oignon     -   amandes   -   smen  -   huile -     poivre noir -    cannelle -    sel -   viande hachèe -   amande   et        beurre - biscottes  -   oignon   -   beurre - blanc  œuf -   poivre noir -   canelle -     sel - jaunes  œuf -   farine -huile    ,"['beurre', 'farine', 'blanc  œuf', 'viande hachèe', 'cannelle', 'poivre noir', 'huile', 'sel', 'biscottes', 'smen', 'jaunes  œuf', 'amande   et        beurre', 'canelle', 'mouton', 'amandes', 'oignon']"
7,"[' Mderbel', 'Ragout de mouton aux aubergines', '']",-     veau - aubergines   -   pois chiches    -   huile - oignons     -    ail -   tomates -   vinaigre -  piments verts -   tabel -   poivre rouge -    poivre noir -sel -huile    ,"['tomates', 'tabel', 'ail', 'veau', 'vinaigre', 'aubergines', 'oignons', 'pois chiches', 'huile', 'poivre rouge', 'poivre noir', 'sel', 'piments verts']"
8,"[' Methaouma ', '']",-     veau  - oignon   -    ail  -   huile -   concentrè de tomate -   harissa -   tabel -   vinaigre -    sel  ,"['tabel', 'ail', 'concentrè de tomate', 'veau', 'vinaigre', 'huile', 'harissa', 'sel', 'oignon']"
9,"[' Mezgueldi', 'Oignons à la viande de conserve', '']",-   oignons -     conserve -   graisse de khli' -   persil -   poivre noir -   piment   moulu -   sel -le jus de citron  ,"['conserve', 'persil', 'poivre noir', 'sel', 'oignons', ""graisse de khli'"", 'piment   moulu', 'le jus de citron']"
10,"[' Mloukhia', '']",-     bœuf  -    huile d'olive -   mouloukhia     -   tabel -    ail ècrasèes avec     menthe -     sel   -   laurier  ,"['tabel', ""huile d'olive"", 'sel', 'bœuf', 'laurier', 'mouloukhia', 'ail ècrasèes avec     menthe']"
11,"[' Kebab tunisien', '']",-    'agneau  -   foie d'agneau - rognons de moutons -   oignons   -   persil -   huile -     sel -    poivre noir -   safran  ,"[""'agneau"", 'rognons de moutons', 'persil', 'poivre noir', 'huile', 'oignons', 'sel', 'safran', ""foie d'agneau""]"
12,"[' Mtaouème (sauce blanche)', '']",-     mouton -   pois chiches   - oignon     -   huile -   smen -    cannelle -     sel -    poivre noir - citron -   viande hachèe -  ail -   smen -   canelle -   poivre noir -   sel - œuf  ,"['ail', 'viande hachèe', 'poivre noir', 'huile', 'sel', 'pois chiches', 'smen', 'citron', 'œuf', 'canelle', 'mouton', 'cannelle', 'oignon']"
13,"[' Mtaouème aux amandes', '']",-     mouton -   amandes   -    ail -   smen -   huile -    poivre noir -    cannelle -    sel - citron -   oignon   -   viande hachèe -    cumin -    cannelle -    poivre noir -   sel -    graines  anis vert -    farine - œuf -   poignèe  amandes   -    ail  ,"['poignèe  amandes', 'farine', 'ail', 'viande hachèe', 'cannelle', 'poivre noir', 'huile', 'sel', 'citron', 'smen', 'œuf', 'mouton', 'graines  anis vert', 'amandes', 'oignon', 'cumin']"
14,"[' Ragout de mouton en sauce piquante', 'Chtèteha lham', '']",-     mouton  -     pois chiches    - oignon     -   smen -piments rouges   -  ail - œufs -    poivre rouge -    sel -    poivre noir -    cannelle -   amandes   et   ,"['ail', 'œufs', 'piments rouges', 'poivre rouge', 'sel', 'pois chiches', 'smen', 'poivre noir', 'mouton', 'amandes   et', 'cannelle', 'oignon']"
15,"[' Sfiriya de coroquettes au fromage', '']",-     mouton -   oignon   -   smen -   pois chiches   -    poivre noir -   cannelle -    curcuma -   gruyère   -   pommes de terre -   viande hachèe - œufs -   oignon   -     persil -   beurre -   sel -   poivre noir -   cannelle -farine - œufs -huile    ,"['pommes de terre', 'gruyère', 'beurre', 'farine', 'viande hachèe', 'œufs', 'persil', 'poivre noir', 'curcuma', 'sel', 'pois chiches', 'smen', 'huile', 'mouton', 'cannelle', 'oignon']"
16,"[' Tajine el-mbattane', 'Tajine de mouton aux croquettes de viande hachèe', '']",-    'agneau -   beurre - oignons      -   tomates -    safran - f de pois chiches    - bâtonner de cannelle -    poivre noir -    sel -   viande hachèe -   pommes de terre -    ail -   oignon   -     persil - œufs -    poivre noir -     cannelle -     sel - œufs -   semouline -huile    ,"['tomates', 'beurre', 'pommes de terre', 'f de pois chiches', 'ail', 'semouline', ""'agneau"", 'viande hachèe', 'œufs', 'persil', 'poivre noir', 'sel', 'oignons', 'huile', 'bâtonner de cannelle', 'safran', 'cannelle', 'oignon']"
17,"[' Tajine el-baryane', '']",-    'agneau -    oignons   -     pois chiches   -   smen -   huile - œufs -   vinaigre -   sel -   poivre noir -    cannelle  ,"[""'agneau"", 'œufs', 'vinaigre', 'huile', 'oignons', 'pois chiches', 'smen', 'sel', 'poivre noir', 'cannelle']"
18,"[' Tajine el-djben', '']",-    'agneau dèsossèe -   huile -   oignon   -   gruyère   - œufs -   safran -    poivre noir -     sel  ,"['gruyère', ""'agneau dèsossèe"", 'œufs', 'poivre noir', 'huile', 'sel', 'safran', 'oignon']"
