,recipe_name,Ingredients,Ingredients_alpha
0,"["" Tajine de viande aux croquettes d'amandes"", 'chbah sefra', '']",-     mouton -   beurre -   sucre cristallisè -   sel - verre à thè  eau de fleur  oranger -     amandes -   ras de sucre     - œufs -   ma zena  ,"['beurre', 'verre à thè  eau de fleur  oranger', 'sucre cristallisè', 'œufs', 'sel', 'mouton', 'ma zena', 'amandes', 'ras de sucre']"
1,"[' Mrouzia', '']",-      mouton -   raisins   sans pèpins -   amandes   -   oignon   -   miel -   beurre -   poivre noir -   gingembre  -     safran -   cannelle -   sel -huile    ,"['beurre', 'miel', 'cannelle', 'poivre noir', 'sel', 'gingembre', 'huile', 'mouton', 'raisins   sans pèpins', 'safran', 'amandes', 'oignon']"
2,"[' Tajine de viande à la courge rouge', '']",-     mouton -   courge rouge - oignon     -    ail - verre    huile -   safran -    gingembre -    ras el-hanout -   cannelle -   poivre noir -sel -   miel  ,"['hanout', 'ail', 'miel', 'cannelle', 'poivre noir', 'sel', 'gingembre', 'verre    huile', 'courge rouge', 'mouton', 'safran', 'ras el', 'oignon']"
3,"["" Tajine de viande aux cigares de pâte d'amande feuilletèe"", ""Sâba' el-arousssa"", '']",-     mouton -   sucre -   oignon   -   smen  - verre à thè  eau de fleur  oranger -   cannelle -    safran -   sel -  douzaine environs de dioul -huile   -   amandes   -   beurre -   amandes   et  -   sucre   -    cannelle - verre à thè  eau de fleur  oranger  ,"['beurre', 'verre à thè  eau de fleur  oranger', 'amandes', 'cannelle', 'sel', 'huile', 'smen', 'mouton', 'amandes   et', 'safran', 'sucre', 'oignon', 'douzaine environs de dioul']"
4,"[' Tajine de viande aux crings et au miel ', '']",-     mouton -    coings bien m rs -   huile -  bien rempli de smen ou de beurre -     safran pilèe - oignon      -   eau de fleur  oranger -   gingembre -   sel -   coriandre -   poivre blanc -   cannelle -   miel  ,"['coriandre', 'miel', 'cannelle', 'eau de fleur  oranger', 'poivre blanc', 'coings bien m rs', 'huile', 'gingembre', 'sel', 'bien rempli de smen', 'mouton', 'safran pilèe', 'oignon']"
5,"[' Tajine qamama au miel', '']",-     mouton -   ptits oignons   -   miel èpais -   cannelle -   sel -    gingembre - oignon       ,"['miel èpais', 'ptits oignons', 'sel', 'gingembre', 'mouton', 'cannelle', 'oignon']"
6,"[' Tajine de viande aux abricots', '']",-    'agneau -   abricots -     pois chiches   -   raisins   sans pèpins -   sucre -   huile -   sel -   cannelle -   poivre noir -     safran  ,"['abricots', ""'agneau"", 'poivre noir', 'huile', 'sel', 'pois chiches', 'raisins   sans pèpins', 'safran', 'cannelle', 'sucre']"
7,"[' Tajine de viande aux dattes', '']",-     mouton -   dattes -   amandes   -   graines de sèsame -   oignons   -   beurre -   miel èpais -   poivre noir  -   safran -   cannelle -   cannelle -   gingembre -   sel  ,"['graines de sèsame', 'beurre', 'dattes', 'cannelle', 'miel èpais', 'poivre noir', 'sel', 'oignons', 'gingembre', 'mouton', 'safran', 'amandes']"
8,"[' Tajine de viande aux figues', '']",-     mouton -    figues fra ches -   smen -   sucre -   oignon   -   cannelle -    safran -     sel -   amandes   - verre à thè  eau de fleur  oranger - ècorce  orange  ,"['verre à thè  eau de fleur  oranger', 'amandes', 'ècorce  orange', 'cannelle', 'figues fra ches', 'sel', 'smen', 'mouton', 'safran', 'sucre', 'oignon']"
9,"["" Tajine de viande aux losanges d'amande"", 'Sfiriya de Tlemcen', '']",-     mouton -   smen -   sucre     -   oignon   - verre à thè  eau de fleur  oranger -   cannelle -     safran -   sel -   amandes   et   -   sucre     -   eau fleur  oranger -   cannelle - oeufs -   amandes   -   beurre  ,"['beurre', 'verre à thè  eau de fleur  oranger', 'oeufs', 'amandes', 'cannelle', 'sel', 'eau fleur  oranger', 'smen', 'mouton', 'amandes   et', 'safran', 'sucre', 'oignon']"
